price,transaction,node1,node2,step
51.0,False,38,31,0
51.0,False,38,36,0
51.0,False,38,37,0
51.0,False,38,12,0
51.0,False,38,27,0
51.0,False,38,30,0
51.0,False,38,32,0
51.0,False,38,39,0
51.0,False,38,41,0
51.0,False,38,43,0
51.0,False,38,46,0
51.0,False,38,48,0
51.0,False,38,49,0
51.0,False,38,42,0
51.0,False,38,45,0
51.0,False,38,47,0
51.0,False,39,5,0
51.0,False,39,6,0
51.0,False,39,10,0
51.0,False,39,12,0
51.0,False,39,13,0
51.0,False,39,15,0
51.0,False,39,16,0
51.0,False,39,19,0
51.0,False,39,23,0
51.0,False,39,25,0
51.0,False,39,26,0
51.0,False,39,27,0
51.0,False,39,28,0
51.0,False,39,33,0
51.0,False,39,35,0
51.0,False,39,36,0
51.0,False,39,38,0
51.0,False,39,1,0
51.0,False,39,9,0
51.0,False,39,14,0
51.0,False,39,18,0
51.0,False,39,21,0
51.0,False,39,22,0
51.0,False,39,24,0
51.0,False,39,30,0
51.0,False,39,31,0
51.0,False,39,32,0
51.0,False,39,40,0
51.0,False,39,44,0
51.0,False,39,46,0
51.0,False,39,47,0
51.0,False,39,49,0
51.0,False,39,41,0
51.0,False,39,43,0
51.0,False,39,45,0
51.0,False,39,48,0
51.0,False,39,113,0
51.0,False,39,175,0
51.0,False,39,180,0
51.0,False,39,195,0
51.0,False,40,0,0
51.0,False,40,2,0
51.0,False,40,3,0
51.0,False,40,7,0
51.0,False,40,12,0
51.0,False,40,23,0
51.0,False,40,26,0
51.0,False,40,29,0
51.0,False,40,34,0
51.0,False,40,39,0
51.0,False,40,10,0
51.0,False,40,30,0
51.0,False,40,31,0
51.0,False,40,32,0
51.0,False,40,33,0
51.0,False,40,41,0
51.0,False,40,44,0
51.0,False,40,46,0
51.0,False,40,68,0
51.0,False,40,43,0
51.0,False,40,53,0
51.0,False,41,0,0
51.0,False,41,1,0
51.0,False,41,7,0
51.0,False,41,16,0
51.0,False,41,20,0
51.0,False,41,22,0
51.0,False,41,25,0
51.0,False,41,32,0
51.0,False,41,37,0
51.0,False,41,38,0
51.0,False,41,40,0
51.0,False,41,11,0
51.0,False,41,12,0
51.0,False,41,23,0
51.0,False,41,26,0
51.0,False,41,29,0
51.0,False,41,30,0
51.0,False,41,31,0
51.0,False,41,34,0
51.0,False,41,39,0
51.0,False,41,43,0
51.0,False,41,49,0
51.0,False,41,58,0
51.0,False,41,48,0
51.0,False,41,176,0
